Player,Era,Accolades,Prime_Lng,Prime_Rs,Prime_Ps,Prime_Rs_Adv,Prime_Ps_Adv,Prime_Corp,Peak_Rs,Peak_Ps,Peak_Rs_Adv,Peak_Ps_Adv,Peak_Corp,Leaderboard,Two_Way,Rs_Winning,Ps_Winning,Rsv,Psv,Dnr,Culture,Artistry
Michael Jordan,4.0,41.4725,1.593333333,37.085,36.961,175.59,191.375,22.61,39.926,40.678,202.95,231.1,30.433,56500.3,13.7716,5.668548387,23.97029626,2.9455351,3.44003764,0.1,100,94
LeBron James,5.8,42.0465,3.84,35.374,34.984,171.54,184.125,20.93,39.738,41.104,211.82,245.9,26.5,84682.35,13.1416,4.626859649,22.5805217,4.5033384,4.68721449,,94,75
Kareem Abdul-Jabbar,2.9,39.9815,4.253333333,29.83375779,29.30739632,144.325,151,15.325,31.708,35.9,151.8,182.46,23.066,78896,13.2916,5.014846386,22.63942177,2.231061221,2.00486442,0.3,75,52
Bill Russell,1.9,40.062,1.333333333,28.78733133,29.65259521,108.705,117.515,18.858,27.17612502,31.92639056,103.82,126.08,22.83,53074,6.1596,6.243781421,25.11421851,1.11278435,1.463456278,,76,24
Magic Johnson,3.1,24.856,1.266666667,31.818,31.133,155.61,158.565,14.808,34.619,33.031,168.46,168.9,20.4,48426,9.0256,6.096439359,22.01392385,3.5417332,3.47115505,,94,83
Tim Duncan,4.9,27.717,3.473333333,28.982,28.452,117.405,120.775,12.543,29.933,32.464,132,163.22,22.43,60742.15,13.3256,6.662265537,21.95125,2.830245,2.29959,0.5,52,35
Shaquille O'Neal,4.3,23.72,1.766666667,32.789,30.674,131.24,128.72,15.314,35.028,32.951,160.32,153.14,25.83,57040.25,12.1616,4.831032944,20.45137248,2.285452,2.292576,,86,38
Kobe Bryant,5.0,25.753,2.406666667,30.347,27.901,120.35,126.01,13.67,30.346,31.862,126.22,153,18.7666,58841.2,9.5116,4.27861341,23.04568465,2.02600965,1.67309556,1,97,93
Larry Bird,3.1,25.243,1.273333333,29.541,27.69,136.855,130.005,17.336,31.891,30.709,153.96,157.84,22.1,48008,10.0876,5.948093645,17.598685,3.3415125,2.7559015,0.6,83,80
Wilt Chamberlain,1.9,33.1835,2.233333333,36.67872739,33.74283493,139.98,135.1,14.335,42.98112242,39.98154781,161.16,143.42,20.93,74118,13.0076,4.615686124,14.33618568,1.990306019,1.682794126,1.1,85,48
